kindNum,sexCd,weight,noticeDays,processState
128,F,7.46,10,0
114,M,7,14,1
114,M,4.5,11,0
67,M,10,8,0
114,M,6,8,0
35,M,25,11,0
108,F,10,11,1
100,F,4.3,20,1
128,F,4,20,1
114,M,3.8,11,0
114,M,3.5,11,0
114,M,3.3,11,0
114,F,20,11,1
89,F,6.8,12,1
128,M,5.3,12,1
114,F,6.3,10,1
114,F,7.7,10,0
114,F,4,10,0
114,M,13,10,0
114,M,1,10,0
114,F,1,10,0
114,F,1,10,0
114,F,11,10,0
114,M,4.3,10,0
114,F,4.4,10,0
114,M,3.8,10,1
114,M,1.6,10,1
114,F,1.5,10,0
114,M,20,10,0
114,F,13,10,0
84,F,26,10,1
114,F,1.5,10,0
114,M,1,10,1
69,M,28,10,0
114,M,3,10,0
114,F,3.3,10,0
114,M,2.8,10,0
114,F,1.2,10,0
114,F,2,10,0
114,M,2,10,0
114,M,16,10,0
114,M,11,10,0
114,F,3,7,1
114,M,3,7,0
114,M,3,7,1
114,M,3,7,1
114,M,3,7,0
114,M,3,7,0
114,F,1,7,1
114,F,1,7,1
114,F,3,7,1
114,F,8,7,1
114,M,8,7,0
114,M,8,7,0
41,F,1,10,1
114,M,1.5,10,0
114,F,1.5,10,0
114,F,1.5,10,0
114,F,11,10,1
69,M,28,10,0
67,M,19.8,10,1
38,F,5,10,1
114,M,5,10,1
114,M,5,10,0
114,M,3,8,0
114,M,10,8,0
114,M,7.4,10,0
114,F,5,10,1
114,M,20,10,0
123,M,7,10,0
128,F,3,10,1
114,F,7.5,10,0
114,F,6,10,0
67,M,14,10,0
67,F,15,10,0
114,F,1.2,10,1
114,M,24,10,0
89,F,4,10,1
114,F,2.8,10,1
114,F,2.6,10,1
125,F,3,10,1
128,M,3.7,10,1
105,M,18,10,1
114,M,8,10,0
101,M,6.5,10,0
114,M,1.8,10,1
114,M,3.4,10,0
114,M,3.7,10,0
114,M,3.6,10,0
89,M,0.9,10,1
114,M,5.6,9,1
128,M,4,10,0
114,F,4,10,0
114,M,8,10,0
114,M,1.9,10,1
107,M,2.8,10,1
114,F,15,10,0
114,F,8,10,0
142,M,10,10,1
114,F,7,10,0
114,F,25,10,1
114,F,10,10,0
114,F,10,10,0
114,M,7,10,0
67,F,20,10,1
114,M,2,10,1
114,M,5,10,1
114,M,20,10,1
114,F,3,10,0
128,F,4,10,1
128,F,5,10,1
114,F,8,10,1
114,F,4,10,0
114,M,5,10,0
114,F,6,10,0
114,F,3,10,0
72,M,3.7,9,1
67,M,17,9,1
1,F,20,9,1
114,M,1,10,0
114,M,13,7,0
114,M,2,10,0
114,M,2,10,1
128,F,2,10,1
114,M,6,10,0
128,M,3,10,1
114,F,5,10,0
114,F,5,11,1
114,F,1,10,1
114,F,2.91,9,0
114,F,2.9,9,0
114,F,2.89,9,0
114,F,2.88,9,0
114,M,2.87,9,0
114,M,2.86,9,0
80,M,2.85,9,0
114,M,5.92,9,0
72,M,3.56,9,1
114,M,6.66,9,0
67,F,15.57,9,0
114,F,1,10,1
114,M,1,10,1
114,F,4,10,0
108,M,10,10,1
114,F,2.7,10,1
114,F,4,10,1
114,F,4,10,1
128,M,4.5,10,1
108,F,10,10,0
90,F,3,10,1
67,M,25,14,0
114,F,1.2,10,0
114,M,2,10,0
114,M,3,10,0
114,M,2,10,0
114,M,1.2,10,0
114,M,2,10,0
114,M,0.5,10,1
72,M,4.5,10,1
114,M,5,10,1
114,F,2,10,1
128,M,4,10,1
18,M,5.5,10,1
38,M,6.5,10,1
114,M,1.74,10,0
114,F,1.68,10,0
