kindCd,kindNum,neuterYn,sexCd,weight,noticeDays,age2,processState,,kindCd,kindNum
푸들,128,N,F,7.46,10,12,0,,골든 리트리버,54
믹스견,114,N,M,7,14,1,1,,그레이 하운드,56
믹스견,114,U,M,4.5,11,2,0,,그레이트 덴,55
진도견,67,N,M,10,8,1,0,,그레이트 피레니즈,118
믹스견,114,N,M,6,8,4,0,,기타,115
차우차우,35,N,M,25,11,3,0,,꼬똥 드 뚤레아,37
웰시 코기 펨브로크,108,U,F,10,11,4,1,,네오폴리탄 마스티프,81
시바,100,U,F,4.3,20,1,1,,노르포크 테리어,204
푸들,128,U,F,4,20,1,1,,노리치 테리어,83
믹스견,114,N,M,3.8,11,1,0,,뉴펀들랜드,82
믹스견,114,N,M,3.5,11,1,0,,닥스훈트,38
믹스견,114,N,M,3.3,11,1,0,,달마시안,39
믹스견,114,U,F,20,11,2,1,,댄디 딘몬트 테리어,40
포메라니안,89,U,F,6.8,12,2,1,,도고 까니리오,43
푸들,128,N,M,5.3,12,6,1,,도고 아르젠티노,42
믹스견,114,N,F,6.3,10,1,1,,도고 아르젠티노,153
믹스견,114,N,F,7.7,10,1,0,,도베르만,41
믹스견,114,U,F,4,10,5,0,,도사,120
믹스견,114,U,M,13,10,2,0,,동경견,155
믹스견,114,N,M,1,10,1,0,,라브라도 리트리버,69
믹스견,114,N,F,1,10,1,0,,라사 압소,71
믹스견,114,N,F,1,10,1,0,,라이카,142
믹스견,114,U,F,11,10,3,0,,래빗 닥스훈드,93
믹스견,114,N,M,4.3,10,1,0,,랫 테리어,167
믹스견,114,N,F,4.4,10,1,0,,레이크랜드 테리어,70
믹스견,114,N,M,3.8,10,1,1,,로디지안 리즈백,166
믹스견,114,N,M,1.6,10,1,1,,로트바일러,94
믹스견,114,N,F,1.5,10,1,0,,롯트와일러,121
믹스견,114,N,M,20,10,3,0,,마리노이즈,152
믹스견,114,N,F,13,10,1,0,,마스티프,73
올드 잉글리쉬 쉽독,84,U,F,26,10,2,1,,말라뮤트,146
믹스견,114,N,F,1.5,10,1,0,,말티즈,72
믹스견,114,N,M,1,10,1,1,,맨체스터테리어,159
라브라도 리트리버,69,U,M,28,10,4,0,,미니어쳐 닥스훈트,76
믹스견,114,N,M,3,10,1,0,,미니어쳐 불 테리어,75
믹스견,114,N,F,3.3,10,1,0,,미니어쳐 슈나우저,79
믹스견,114,N,M,2.8,10,1,0,,미니어쳐 푸들,78
믹스견,114,N,F,1.2,10,1,0,,미니어쳐 핀셔,77
믹스견,114,N,F,2,10,1,0,,미디엄 푸들,74
믹스견,114,N,M,2,10,1,0,,미텔 스피츠,80
믹스견,114,U,M,16,10,2,0,,믹스견,114
믹스견,114,U,M,11,10,1,0,,바센지,133
믹스견,114,N,F,3,7,1,1,,바셋 하운드,12
믹스견,114,N,M,3,7,1,0,,버니즈 마운틴 독,17
믹스견,114,N,M,3,7,1,1,,베들링턴 테리어,15
믹스견,114,N,M,3,7,1,1,,벨기에 그로넨달,164
믹스견,114,N,M,3,7,1,0,,벨기에 쉽독,157
믹스견,114,N,M,3,7,1,0,,벨기에 테뷰런,148
믹스견,114,N,F,1,7,1,1,,벨지안 셰퍼드 독,16
믹스견,114,N,F,1,7,1,1,,보더 콜리,20
믹스견,114,N,F,3,7,1,1,,보르조이,21
믹스견,114,N,F,8,7,2,1,,보스턴 테리어,22
믹스견,114,N,M,8,7,2,0,,복서,24
믹스견,114,N,M,8,7,2,0,,볼로네즈,208
도베르만,41,N,F,1,10,1,1,,부비에 데 플랑드르,23
믹스견,114,U,M,1.5,10,1,0,,불 테리어,26
믹스견,114,U,F,1.5,10,1,0,,불독,27
믹스견,114,U,F,1.5,10,1,0,,브뤼셀그리펀,169
믹스견,114,U,F,11,10,4,1,,브리타니 스파니엘,25
라브라도 리트리버,69,U,M,28,10,6,0,,블랙 테리어,19
진도견,67,N,M,19.8,10,3,1,,비글,13
닥스훈트,38,U,F,5,10,6,1,,비숑 프리제,18
믹스견,114,U,M,5,10,1,1,,비어디드 콜리,14
믹스견,114,N,M,5,10,11,0,,비즐라,162
믹스견,114,N,M,3,8,1,0,,빠삐용,85
믹스견,114,N,M,10,8,4,0,,사모예드,96
믹스견,114,N,M,7.4,10,3,0,,살루키,95
믹스견,114,N,F,5,10,3,1,,삽살개,1
믹스견,114,N,M,20,10,3,0,,샤페이,34
슈나우져,123,U,M,7,10,6,0,,세인트 버나드,104
푸들,128,U,F,3,10,2,1,,센트럴 아시안 오브차카,31
믹스견,114,U,F,7.5,10,1,0,,셔틀랜드 쉽독,99
믹스견,114,U,F,6,10,7,0,,셰퍼드,122
진도견,67,N,M,14,10,7,0,,슈나우져,123
진도견,67,U,F,15,10,7,0,,스코티쉬 테리어,97
믹스견,114,N,F,1.2,10,1,1,,스코티시 디어하운드,132
믹스견,114,N,M,24,10,4,0,,스탠다드 푸들,105
포메라니안,89,N,F,4,10,5,1,,스테포드셔불테리어,154
믹스견,114,N,F,2.8,10,1,1,,스피츠,124
믹스견,114,N,F,2.6,10,1,1,,시바,100
코카 스파니엘,125,U,F,3,10,1,1,,시베리안 허스키,103
푸들,128,N,M,3.7,10,2,1,,시베리안라이카,151
스탠다드 푸들,105,Y,M,18,10,3,1,,시잉프랑세즈,139
믹스견,114,N,M,8,10,2,0,,시츄,101
시츄,101,N,M,6.5,10,9,0,,시코쿠,102
믹스견,114,N,M,1.8,10,1,1,,실리햄 테리어,98
믹스견,114,N,M,3.4,10,1,0,,실키테리어,136
믹스견,114,N,M,3.7,10,1,0,,아나톨리안 셰퍼드,202
믹스견,114,N,M,3.6,10,1,0,,아메리칸 불독,160
포메라니안,89,N,M,0.9,10,1,1,,아메리칸 스태퍼드셔 테리어,203
믹스견,114,N,M,5.6,9,1,1,,아메리칸 아키다,8
푸들,128,N,M,4,10,8,0,,아메리칸 에스키모,131
믹스견,114,N,F,4,10,4,0,,아메리칸 코카 스파니엘,9
믹스견,114,N,M,8,10,4,0,,아메리칸 핏불 테리어,119
믹스견,114,N,M,1.9,10,1,1,,아메리칸불리,150
토이 푸들,107,N,M,2.8,10,1,1,,아이리쉬 레드 앤 화이트 세터,210
믹스견,114,N,F,15,10,3,0,,아이리쉬 세터,57
믹스견,114,N,F,8,10,3,0,,아이리쉬 울프 하운드,58
라이카,142,N,M,10,10,3,1,,아이리쉬소프트코튼휘튼테리어,59
믹스견,114,U,F,7,10,1,0,,아키다,6
믹스견,114,N,F,25,10,2,1,,아프간 하운드,4
믹스견,114,N,F,10,10,2,0,,알라스칸 말라뮤트,7
믹스견,114,N,F,10,10,1,0,,에어델 테리어,5
믹스견,114,N,M,7,10,2,0,,오브차카,143
진도견,67,N,F,20,10,4,1,,오스트랄리안 셰퍼드 독,11
믹스견,114,N,M,2,10,1,1,,오스트랄리안 캐틀 독,10
믹스견,114,N,M,5,10,3,1,,올드 잉글리쉬 불독,137
믹스견,114,N,M,20,10,4,1,,올드 잉글리쉬 쉽독,84
믹스견,114,N,F,3,10,1,0,,와이마라너,163
푸들,128,U,F,4,10,2,1,,와이어 폭스 테리어,112
푸들,128,U,F,5,10,2,1,,요크셔 테리어,113
믹스견,114,U,F,8,10,2,1,,울프독,149
믹스견,114,U,F,4,10,2,0,,웨스트 시베리언 라이카,211
믹스견,114,U,M,5,10,1,0,,웨스트하이랜드화이트테리어,110
믹스견,114,U,F,6,10,2,0,,웰시 코기 카디건,205
믹스견,114,U,F,3,10,2,0,,웰시 코기 펨브로크,108
말티즈,72,N,M,3.7,9,6,1,,웰시 테리어,109
진도견,67,N,M,17,9,2,1,,이탈리안 그레이 하운드,60
삽살개,1,U,F,20,9,3,1,,잉글리쉬 세터,46
믹스견,114,N,M,1,10,1,0,,잉글리쉬 스프링거 스파니엘,47
믹스견,114,N,M,13,7,2,0,,잉글리쉬 코카 스파니엘,44
