neuterYn,sexCd,weight,noticeDays,age2,processState
N,F,7.46,10,12,0
N,M,7,14,1,1
U,M,4.5,11,2,0
N,M,10,8,1,0
N,M,6,8,4,0
N,M,25,11,3,0
U,F,10,11,4,1
U,F,4.3,20,1,1
U,F,4,20,1,1
N,M,3.8,11,1,0
N,M,3.5,11,1,0
N,M,3.3,11,1,0
U,F,20,11,2,1
U,F,6.8,12,2,1
N,M,5.3,12,6,1
N,F,6.3,10,1,1
N,F,7.7,10,1,0
U,F,4,10,5,0
U,M,13,10,2,0
N,M,1,10,1,0
N,F,1,10,1,0
N,F,1,10,1,0
U,F,11,10,3,0
N,M,4.3,10,1,0
N,F,4.4,10,1,0
N,M,3.8,10,1,1
N,M,1.6,10,1,1
N,F,1.5,10,1,0
N,M,20,10,3,0
N,F,13,10,1,0
U,F,26,10,2,1
N,F,1.5,10,1,0
N,M,1,10,1,1
U,M,28,10,4,0
N,M,3,10,1,0
N,F,3.3,10,1,0
N,M,2.8,10,1,0
N,F,1.2,10,1,0
N,F,2,10,1,0
N,M,2,10,1,0
U,M,16,10,2,0
U,M,11,10,1,0
N,F,3,7,1,1
N,M,3,7,1,0
N,M,3,7,1,1
N,M,3,7,1,1
N,M,3,7,1,0
N,M,3,7,1,0
N,F,1,7,1,1
N,F,1,7,1,1
N,F,3,7,1,1
N,F,8,7,2,1
N,M,8,7,2,0
N,M,8,7,2,0
N,F,1,10,1,1
U,M,1.5,10,1,0
U,F,1.5,10,1,0
U,F,1.5,10,1,0
U,F,11,10,4,1
U,M,28,10,6,0
N,M,19.8,10,3,1
U,F,5,10,6,1
U,M,5,10,1,1
N,M,5,10,11,0
N,M,3,8,1,0
N,M,10,8,4,0
N,M,7.4,10,3,0
N,F,5,10,3,1
N,M,20,10,3,0
U,M,7,10,6,0
U,F,3,10,2,1
U,F,7.5,10,1,0
U,F,6,10,7,0
N,M,14,10,7,0
U,F,15,10,7,0
N,F,1.2,10,1,1
N,M,24,10,4,0
N,F,4,10,5,1
N,F,2.8,10,1,1
N,F,2.6,10,1,1
U,F,3,10,1,1
N,M,3.7,10,2,1
Y,M,18,10,3,1
N,M,8,10,2,0
N,M,6.5,10,9,0
N,M,1.8,10,1,1
N,M,3.4,10,1,0
N,M,3.7,10,1,0
N,M,3.6,10,1,0
N,M,0.9,10,1,1
N,M,5.6,9,1,1
N,M,4,10,8,0
N,F,4,10,4,0
N,M,8,10,4,0
N,M,1.9,10,1,1
N,M,2.8,10,1,1
N,F,15,10,3,0
N,F,8,10,3,0
N,M,10,10,3,1
U,F,7,10,1,0
N,F,25,10,2,1
N,F,10,10,2,0
N,F,10,10,1,0
N,M,7,10,2,0
N,F,20,10,4,1
N,M,2,10,1,1
N,M,5,10,3,1
N,M,20,10,4,1
N,F,3,10,1,0
U,F,4,10,2,1
U,F,5,10,2,1
U,F,8,10,2,1
U,F,4,10,2,0
U,M,5,10,1,0
U,F,6,10,2,0
U,F,3,10,2,0
N,M,3.7,9,6,1
N,M,17,9,2,1
U,F,20,9,3,1
N,M,1,10,1,0
N,M,13,7,2,0
N,M,2,10,1,0
N,M,2,10,1,1
N,F,2,10,4,1
N,M,6,10,2,0
N,M,3,10,7,1
U,F,5,10,2,0
N,F,5,11,5,1
U,F,1,10,2,1
N,F,2.91,9,1,0
N,F,2.9,9,1,0
N,F,2.89,9,1,0
N,F,2.88,9,1,0
N,M,2.87,9,1,0
N,M,2.86,9,1,0
N,M,2.85,9,1,0
N,M,5.92,9,3,0
N,M,3.56,9,4,1
N,M,6.66,9,4,0
N,F,15.57,9,2,0
U,F,1,10,1,1
U,M,1,10,1,1
U,F,4,10,5,0
Y,M,10,10,4,1
N,F,2.7,10,1,1
N,F,4,10,1,1
N,F,4,10,1,1
N,M,4.5,10,2,1
N,F,10,10,11,0
N,F,3,10,1,1
N,M,25,14,2,0
N,F,1.2,10,1,0
N,M,2,10,1,0
N,M,3,10,1,0
N,M,2,10,1,0
N,M,1.2,10,1,0
U,M,2,10,1,0
N,M,0.5,10,1,1
N,M,4.5,10,2,1
N,M,5,10,1,1
U,F,2,10,1,1
N,M,4,10,7,1
N,M,5.5,10,4,1
Y,M,6.5,10,4,1
N,M,1.74,10,1,0
N,F,1.68,10,1,0
N,F,5.57,10,1,0
N,F,4,10,13,0
N,F,2.5,10,8,0
U,F,2,10,7,1
N,M,0.5,10,1,1
N,F,4,10,13,0
N,F,4,10,14,0
N,F,4,10,13,0
Y,M,6,10,7,1
