age,age2,kindNum,kindCd,neuterYn,noticeEdt,noticeSdt,noticeDays,sexCd,weight,processState
2018,0,128,푸들,N,43255,43245,10,M,0.8,1
2017,1,114,믹스견,N,43241,43231,10,M,5,0
2005,13,12,바셋 하운드,N,43241,43231,10,F,5,0
2015,3,17,버니즈 마운틴 독,N,43241,43231,10,M,5,0
2011,7,114,믹스견,N,43241,43231,10,M,15,0
2011,7,114,믹스견,N,43241,43231,10,M,15,0
2017,1,72,말티즈,N,43241,43230,11,M,3,1
2015,3,13,비글,U,43241,43229,12,F,8,1
2016,2,128,푸들,N,43241,43229,12,F,4,0
2015,3,72,말티즈,N,43237,43228,9,F,4,1
2015,3,128,푸들,U,43238,43228,10,F,8,1
2015,3,101,시츄,N,43235,43225,10,F,4.6,1
2016,2,67,진도견,N,43234,43224,10,F,21.2,0
2018,0,114,믹스견,U,43234,43224,10,F,2,1
2018,0,114,믹스견,U,43234,43224,10,M,2,0
2015,3,114,믹스견,U,43234,43224,10,F,17.5,0
2018,0,114,믹스견,U,43234,43223,11,F,3,1
2018,0,114,믹스견,U,43234,43223,11,M,4,1
2016,2,128,푸들,N,43234,43223,11,M,4.84,1
2014,4,114,믹스견,N,43234,43222,12,M,9,0
2018,0,114,믹스견,N,43234,43222,12,F,0.5,1
2018,0,114,믹스견,N,43234,43222,12,F,0.5,1
2018,0,114,믹스견,N,43234,43222,12,M,2,1
2017,1,114,믹스견,N,43229,43222,7,F,3.3,0
2014,4,13,비글,N,43229,43222,7,M,11.2,1
2018,0,114,믹스견,N,43229,43222,7,F,1.6,0
2018,0,114,믹스견,N,43229,43222,7,F,2.2,0
2018,0,114,믹스견,N,43229,43222,7,M,1.9,0
2015,3,114,믹스견,U,43234,43222,12,F,3,0
2017,1,114,믹스견,U,43234,43222,12,F,1,0
2017,1,114,믹스견,U,43234,43222,12,M,1,0
2015,3,114,믹스견,U,43234,43222,12,F,3,0
2014,4,114,믹스견,U,43234,43222,12,M,3,0
2008,10,44,잉글리쉬 코카 스파니엘,N,43234,43222,12,M,11.5,0
2017,1,128,푸들,U,43234,43222,12,F,3,0
2015,3,128,푸들,U,43234,43222,12,F,3,0
2008,10,114,믹스견,Y,43234,43222,12,M,18,0
2013,5,103,시베리안 허스키,Y,43234,43222,12,M,25,0
2015,3,128,푸들,N,43234,43222,12,M,5.9,0
2017,1,114,믹스견,N,43234,43222,12,M,7.5,0
2018,0,114,믹스견,N,43231,43221,10,M,12,0
2016,2,114,믹스견,N,43231,43221,10,M,23,0
2018,0,114,믹스견,N,43231,43221,10,F,2.8,0
2018,0,114,믹스견,N,43231,43221,10,M,7,0
2018,0,114,믹스견,N,43231,43221,10,F,7,0
2018,0,114,믹스견,N,43231,43221,10,M,3.5,0
2018,0,114,믹스견,N,43231,43221,10,F,2.8,0
2018,0,114,믹스견,N,43231,43221,10,M,2.6,0
2018,0,114,믹스견,N,43231,43221,10,M,5,1
2018,0,114,믹스견,N,43231,43221,10,F,3.4,0
2015,3,114,믹스견,N,43231,43221,10,F,16,0
2017,1,114,믹스견,N,43231,43221,10,F,10,0
2018,0,114,믹스견,N,43231,43221,10,M,2,0
2018,0,114,믹스견,N,43231,43221,10,F,2.3,0
2018,0,114,믹스견,N,43231,43221,10,F,2,0
2018,0,114,믹스견,N,43231,43221,10,M,2.6,0
2018,0,114,믹스견,N,43231,43221,10,M,2.3,0
2016,2,114,믹스견,N,43231,43221,10,F,17,0
2013,5,146,말라뮤트,N,43231,43221,10,M,45,0
2018,0,114,믹스견,N,43231,43221,10,F,1.6,0
2018,0,114,믹스견,N,43231,43221,10,M,1.7,0
2018,0,114,믹스견,N,43231,43221,10,M,1.9,0
2016,2,114,믹스견,N,43231,43221,10,M,5,1
2016,2,72,말티즈,N,43231,43221,10,F,2,1
2018,0,114,믹스견,N,43231,43221,10,M,2,0
2015,3,72,말티즈,N,43231,43221,10,M,5,0
2010,8,114,믹스견,U,43231,43221,10,F,12,1
2016,2,128,푸들,N,43231,43221,10,F,10,1
2014,4,13,비글,N,43231,43221,10,M,8,1
2014,4,67,진도견,N,43231,43221,10,M,26,1
2011,7,128,푸들,N,43231,43221,10,M,6.3,0
2017,1,54,골든 리트리버,U,43231,43221,10,M,12,1
2018,0,114,믹스견,N,43231,43221,10,M,4,0
