neuterYn,sexCd,weight,noticeDays,age2
N,M,0.8,10,0
N,M,5,10,1
N,F,5,10,13
N,M,5,10,3
N,M,15,10,7
N,M,15,10,7
N,M,3,11,1
U,F,8,12,3
N,F,4,12,2
N,F,4,9,3
U,F,8,10,3
N,F,4.6,10,3
N,F,21.2,10,2
U,F,2,10,0
U,M,2,10,0
U,F,17.5,10,3
U,F,3,11,0
U,M,4,11,0
N,M,4.84,11,2
N,M,9,12,4
N,F,0.5,12,0
N,F,0.5,12,0
N,M,2,12,0
N,F,3.3,7,1
N,M,11.2,7,4
N,F,1.6,7,0
N,F,2.2,7,0
N,M,1.9,7,0
U,F,3,12,3
U,F,1,12,1
U,M,1,12,1
U,F,3,12,3
U,M,3,12,4
N,M,11.5,12,10
U,F,3,12,1
U,F,3,12,3
Y,M,18,12,10
Y,M,25,12,5
N,M,5.9,12,3
N,M,7.5,12,1
N,M,12,10,0
N,M,23,10,2
N,F,2.8,10,0
N,M,7,10,0
N,F,7,10,0
N,M,3.5,10,0
N,F,2.8,10,0
N,M,2.6,10,0
N,M,5,10,0
N,F,3.4,10,0
N,F,16,10,3
N,F,10,10,1
N,M,2,10,0
N,F,2.3,10,0
N,F,2,10,0
N,M,2.6,10,0
N,M,2.3,10,0
N,F,17,10,2
N,M,45,10,5
N,F,1.6,10,0
N,M,1.7,10,0
N,M,1.9,10,0
N,M,5,10,2
N,F,2,10,2
N,M,2,10,0
N,M,5,10,3
U,F,12,10,8
N,F,10,10,2
N,M,8,10,4
N,M,26,10,4
N,M,6.3,10,7
U,M,12,10,1
N,M,4,10,0
U,F,4.1,10,0
U,F,6.2,10,10
U,F,1.7,10,0
N,F,6,10,0
N,M,2,10,2
U,M,10,10,1
U,M,5,10,3
N,F,2.9,10,0
N,F,2.2,10,0
N,M,3.1,10,0
N,M,2.3,10,0
N,M,2.3,10,0
N,M,2.2,10,0
N,M,3,10,0
U,F,4.9,10,8
U,F,4.6,10,4
N,M,1,10,0
N,M,7.8,10,4
U,F,3.1,10,10
N,M,2.8,10,1
N,M,5.5,10,0
N,M,4.1,10,3
N,M,3,10,3
U,F,12.3,10,1
N,M,7.9,10,3
Y,M,3.9,10,4
N,M,5.5,10,6
N,F,5,10,2
N,M,0.5,10,0
N,M,6,10,5
N,F,3,10,4
N,F,5,10,5
N,F,3.5,10,5
U,M,5,10,3
U,M,4,10,2
U,F,3,10,3
U,F,5,10,3
U,Q,4,10,0
U,Q,4,10,0
U,F,5,10,3
U,Q,8,10,3
N,F,0.4,10,0
N,M,3,10,1
N,M,0.8,10,0
U,M,3,10,1
N,F,15,9,3
N,F,5,10,2
U,M,13,9,3
N,M,8,10,2
U,M,7,10,0
N,M,11,10,2
N,F,10,10,1
N,F,6,10,1
N,F,10,10,2
Y,M,2.89,10,0
N,M,5.17,10,3
N,F,1.3,9,0
N,F,1,9,0
N,M,9,9,4
N,M,1.2,9,0
Y,M,2.6,9,1
N,M,1.5,9,0
N,M,3,9,1
Y,M,4,9,1
U,F,5,8,2
U,M,15,9,1
U,F,4.2,10,1
U,F,5.3,10,1
U,F,4.5,10,1
N,M,7.9,10,1
N,M,4,10,0
N,M,13,8,1
U,F,3,8,0
U,F,18,10,2
U,F,3,10,2
N,M,4,8,0
U,F,2,10,0
U,F,10,10,2
U,F,5,10,3
U,F,8,8,1
N,F,4,10,5
N,F,3.7,10,3
N,M,5,10,0
N,M,4,10,0
N,M,5.38,9,7
N,M,7.2,10,3
N,M,24.5,10,2
N,F,14.5,10,2
N,F,3.6,10,1
N,F,1.7,10,0
Y,M,2,10,3
Y,M,6.6,10,3
Y,M,4,14,2
N,M,3,14,1
N,M,7,14,1
N,F,4,10,1
N,F,6.8,10,1
N,M,5.4,10,2
N,F,18,10,4
N,M,11.2,10,1
Y,M,25,12,3
N,F,3.5,10,9
N,M,2.5,10,1
N,F,9,10,1
N,M,15,10,2
N,F,8.1,10,1
N,F,3.6,10,0
N,M,4,12,3
U,M,5,10,1
N,M,4.4,10,1
N,M,4.8,10,1
U,F,3.4,10,0
N,M,3.1,10,1
N,F,3,8,13
N,M,4,8,0
N,M,4.8,8,0
N,F,4.5,8,0
N,M,3,8,2
N,M,3.5,8,1
N,F,7.2,8,0
Y,M,3.2,10,4
N,M,4,10,1
Y,M,6,10,3
N,M,18,10,4
U,F,4,10,7
Y,M,6,10,3
Y,M,5.2,10,4
Y,M,5.3,10,5
N,M,11,10,3
Y,M,5,10,3
U,F,4,10,5
N,F,12,10,0
N,M,6.34,10,4
N,F,12,10,1
N,M,6,10,7
U,F,3.5,10,1
N,F,1.8,10,0
U,F,2,10,2
N,M,3,10,0
N,M,13,11,2
N,F,15,10,2
N,M,4.3,10,0
U,F,20,11,2
N,F,4,9,4
N,M,2,12,0
N,F,1.72,12,15
N,F,5,15,2
N,F,10,15,2
U,M,6,10,4
U,M,4,10,5
U,M,4,10,5
U,M,7,10,4
U,M,4,10,5
U,M,3,10,3
U,M,3,10,5
U,F,5,10,0
N,M,4,10,0
N,M,5,10,5
U,F,10,10,3
Y,F,4.5,10,0
N,M,2.3,10,6
N,M,5,10,5
N,F,3,10,0
Y,M,5.8,10,4
N,F,5,10,1
U,M,38,9,3
Y,M,4.2,10,3
U,F,4.2,10,1
N,M,8.1,10,2
Y,M,3,10,5
U,M,4.5,10,3
N,M,7.2,10,1
N,M,16,9,2
U,M,6,9,1
N,M,7,9,7
N,M,12.81,9,1
N,M,4,15,3
Y,M,6,12,3
N,M,5,12,2
U,M,6,10,3
U,M,4.8,10,2
Y,M,4.5,10,1
U,F,17,12,3
U,M,15,10,2
U,M,3,11,4
U,F,19,12,2
N,F,2,12,1
Y,M,3.9,12,1
U,M,5,10,1
U,M,5,10,1
N,M,18,7,0
N,F,17,10,5
N,M,5.5,10,4
N,F,8,10,6
U,F,3,10,2
U,M,3,10,3
N,M,4.3,10,2
N,F,4,10,3
N,M,3,10,10
Y,F,5,10,0
N,F,1,10,0
N,F,1,10,0
N,M,8,9,3
U,F,4,9,4
U,F,2.5,10,1
U,F,5,10,6
U,M,8,9,1
U,M,2.87,9,1
U,M,3,9,1
N,M,4,10,1
N,M,5,10,1
N,M,5,10,0
N,M,4,10,0
N,F,6.2,10,3
U,M,3,10,3
N,M,5.4,10,1
N,M,3.6,10,0
N,M,2,10,0
N,M,2.3,10,0
N,M,9,10,6
N,M,6,10,0
N,M,7.3,10,2
N,M,15,10,0
Y,M,6,9,3
U,M,10,10,2
N,F,7.2,10,3
N,M,15,10,0
N,F,3.85,9,1
U,Q,15,10,4
N,M,20,10,2
N,F,1,10,0
N,M,1,10,0
N,M,7,10,1
N,M,1.55,10,10
N,F,2.4,10,0
N,F,18,10,2
U,F,12,8,2
Y,M,4,8,4
N,F,2,10,1
N,M,8,10,0
N,M,3,10,0
N,M,5.2,10,3
N,F,3.9,10,1
N,F,4,10,2
N,M,15,10,5
N,F,9,12,5
N,F,5,10,1
N,F,15,10,2
Y,M,3,10,3
U,F,3.5,10,6
N,M,3,10,3
N,M,5.2,10,2
N,F,3.5,10,5
U,F,4.2,10,1
U,M,3.7,10,0
U,M,3.7,10,1
N,M,10,10,1
N,F,12.2,10,5
N,M,7.5,10,1
Y,M,4,10,7
Y,M,4.3,10,1
N,M,25,10,6
U,F,3,10,3
U,M,2,10,2
U,F,5,10,0
U,F,5,10,2
U,F,3,10,5
U,M,6,10,2
N,F,5.2,10,5
U,M,5,10,2
U,F,10,10,0
N,F,4,10,3
N,F,4,10,3
N,M,9.42,10,2
Y,M,5.95,10,3
N,F,9.9,10,1
N,M,8,10,0
N,F,19,10,1
N,M,4.8,10,0
N,F,4.5,10,0
N,M,17,10,2
N,M,9,10,0
N,F,1.7,10,0
N,F,1.7,10,0
N,F,3.2,10,4
N,F,8.4,10,0
N,M,1.9,10,5
N,M,3,10,0
N,F,11,10,2
N,M,8.5,10,0
N,M,7.7,10,0
N,F,8.5,10,0
N,F,8.5,10,0
N,F,5,10,3
U,M,15,10,5
N,M,20,10,4
U,F,2.8,10,0
U,F,3.5,10,10
U,F,3,10,1
N,M,2,9,1
U,F,7.4,10,1
U,F,3.8,10,3
N,M,40,10,2
U,F,35,10,6
U,F,2,10,0
U,F,3,10,4
N,F,6,10,8
U,M,1,10,0
U,F,9,10,4
U,F,3,10,0
U,F,6,10,4
U,F,3,10,12
U,F,4,8,10
N,M,4.7,10,4
N,M,11.2,8,3
U,F,4,10,0
N,M,4,10,2
N,F,4,10,5
N,F,2,10,0
N,M,1,10,0
N,F,1,10,0
N,F,1,10,0
N,F,1,10,0
N,F,1,10,0
N,F,1,10,0
N,M,1,10,0
N,F,10,10,2
N,M,8,10,2
N,F,2,10,0
N,F,2,10,0
N,M,2,10,0
N,M,2,10,0
N,M,2,10,0
N,M,4,10,0
N,M,7,10,1
N,M,4,10,1
N,M,1.5,10,1
U,F,5.2,10,3
U,M,15,10,1
U,M,5.3,10,5
N,M,1,10,0
U,F,25,10,1
U,F,4,10,2
U,F,4.8,10,10
N,M,8,10,0
Y,M,8,10,5
Y,M,4.5,10,3
N,M,3,10,0
N,M,1.5,10,0
N,M,1.5,10,0
N,F,1.5,10,0
N,F,1.5,10,1
Y,M,4,10,7
N,M,5,10,3
U,F,3.6,10,0
N,M,30,11,2
U,F,20,10,2
N,M,2,11,0
U,F,3,11,0
U,Q,4,11,0
U,Q,4,11,0
U,F,17,7,2
U,F,4,7,2
N,M,30.11,11,3
N,M,6,11,1
N,F,6.5,11,1
N,F,6,11,1
N,M,4.2,11,2
U,M,3.5,11,2
U,M,15,11,6
N,F,9.87,11,2
N,F,3.04,11,3
N,F,1.53,11,0
N,M,0.5,11,0
N,M,0.5,11,0
N,M,0.5,11,0
N,M,2.5,11,0
N,F,6,11,0
N,M,5,11,1
Y,M,6,11,5
N,M,15,14,0
N,F,15.5,14,0
N,M,2.8,14,0
N,F,2.2,14,0
U,M,4,7,2
N,M,8,11,0
U,F,8,11,1
U,F,8,8,2
U,M,20,11,1
N,M,3.5,11,1
N,F,2,11,0
N,M,6.2,11,2
N,F,6.4,11,3
N,F,1.7,11,8
N,F,3.2,11,1
N,M,8,11,2
N,F,3.5,11,0
U,F,23,11,3
U,F,4,11,1
Y,M,3.4,11,8
U,F,13,11,1
U,F,2.8,11,7
U,F,7,11,2
N,M,1.9,11,0
